datetime,library,opening_type,people_in,people_out
2020-01-02 11:00:00,North Finchley,staffed,0,0
2020-01-02 11:00:00,Osidge,SSO,15,18
2020-01-02 12:00:00,Chipping Barnet,SSO,17,20
2020-01-02 12:00:00,Colindale,staffed,23,17
2020-01-02 12:00:00,Edgware,SSO,0,0
2020-01-02 12:00:00,Finchley Church End,SSO,0,0
2020-01-02 12:00:00,Golders Green,SSO,0,0
2020-01-02 12:00:00,North Finchley,staffed,0,0
2020-01-02 12:00:00,Osidge,SSO,20,13
2020-01-02 13:00:00,Chipping Barnet,SSO,22,20
2020-01-02 13:00:00,Colindale,SSO,29,23
2020-01-02 13:00:00,Edgware,SSO,0,0
2020-01-02 13:00:00,Finchley Church End,SSO,0,0
2020-01-02 13:00:00,Golders Green,SSO,0,0
2020-01-02 13:00:00,North Finchley,SSO,0,0
2020-01-02 13:00:00,Osidge,SSO,20,27
2020-01-02 14:00:00,Chipping Barnet,SSO,34,22
2020-01-02 14:00:00,Colindale,SSO,31,14
2020-01-02 14:00:00,Edgware,staffed,0,0
2020-01-02 14:00:00,Finchley Church End,SSO,0,0
2020-01-02 14:00:00,Golders Green,staffed,0,0
2020-01-02 14:00:00,North Finchley,SSO,0,0
2020-01-02 14:00:00,Osidge,staffed,45,29
2020-01-02 15:00:00,Chipping Barnet,SSO,29,15
2020-01-02 15:00:00,Colindale,SSO,38,29
2020-01-02 15:00:00,Edgware,staffed,0,0
2020-01-02 15:00:00,Finchley Church End,SSO,0,0
2020-01-02 15:00:00,Golders Green,staffed,0,0
2020-01-02 15:00:00,North Finchley,SSO,0,0
2020-01-02 15:00:00,Osidge,staffed,26,32
2020-01-02 16:00:00,Chipping Barnet,SSO,12,10
2020-01-02 16:00:00,Colindale,SSO,43,18
2020-01-02 16:00:00,Edgware,staffed,0,0
2020-01-02 16:00:00,Finchley Church End,SSO,0,0
2020-01-02 16:00:00,Golders Green,staffed,0,0
2020-01-02 16:00:00,North Finchley,SSO,0,0
2020-01-02 16:00:00,Osidge,staffed,22,33
2020-01-02 17:00:00,Chipping Barnet,SSO,9,8
2020-01-02 17:00:00,Colindale,SSO,19,15
2020-01-02 17:00:00,Edgware,staffed,0,0
2020-01-02 17:00:00,Finchley Church End,SSO,0,0
2020-01-02 17:00:00,Golders Green,staffed,0,0
2020-01-02 17:00:00,North Finchley,SSO,0,0
2020-01-02 17:00:00,Osidge,SSO,6,25
2020-01-02 18:00:00,Chipping Barnet,SSO,2,2
2020-01-02 18:00:00,Colindale,SSO,33,8
2020-01-02 18:00:00,Edgware,staffed,0,0
2020-01-02 18:00:00,Finchley Church End,SSO,0,0
2020-01-02 18:00:00,Golders Green,staffed,0,0
2020-01-02 18:00:00,North Finchley,SSO,0,0
2020-01-02 18:00:00,Osidge,SSO,1,2
2020-01-02 19:00:00,Chipping Barnet,SSO,9,1
2020-01-02 19:00:00,Colindale,SSO,17,3
2020-01-02 19:00:00,Edgware,staffed,0,0
2020-01-02 19:00:00,Finchley Church End,SSO,0,0
2020-01-02 19:00:00,Golders Green,staffed,0,0
2020-01-02 19:00:00,North Finchley,SSO,0,0
2020-01-02 19:00:00,Osidge,SSO,1,4
2020-01-02 20:00:00,Chipping Barnet,SSO,3,1
2020-01-02 20:00:00,Colindale,SSO,13,6
2020-01-02 20:00:00,Edgware,SSO,0,0
2020-01-02 20:00:00,Finchley Church End,SSO,0,0
2020-01-02 20:00:00,Golders Green,closed,0,0
2020-01-02 20:00:00,North Finchley,closed,0,0
2020-01-02 20:00:00,Osidge,closed,0,0
2020-01-02 21:00:00,Chipping Barnet,SSO,9,8
2020-01-02 21:00:00,Colindale,SSO,18,6
2020-01-02 21:00:00,Edgware,SSO,0,0
2020-01-02 21:00:00,Finchley Church End,SSO,0,0
2020-01-02 21:00:00,Golders Green,closed,0,0
2020-01-02 21:00:00,North Finchley,closed,0,0
2020-01-02 21:00:00,Osidge,closed,0,0
2020-01-02 22:00:00,Chipping Barnet,closed,0,0
2020-01-02 22:00:00,Colindale,closed,0,0
2020-01-02 22:00:00,Edgware,closed,0,0
2020-01-02 22:00:00,Finchley Church End,closed,0,0
2020-01-02 22:00:00,Golders Green,closed,0,0
2020-01-02 22:00:00,North Finchley,closed,0,0
2020-01-02 22:00:00,Osidge,closed,10,13
2020-01-02 23:00:00,Chipping Barnet,closed,0,0
2020-01-02 23:00:00,Colindale,closed,0,0
2020-01-02 23:00:00,Edgware,closed,0,0
2020-01-02 23:00:00,Finchley Church End,closed,0,0
2020-01-02 23:00:00,Golders Green,closed,0,0
2020-01-02 23:00:00,North Finchley,closed,0,0
2020-01-02 23:00:00,Osidge,closed,0,0
2020-01-03 00:00:00,Chipping Barnet,closed,0,0
2020-01-03 00:00:00,Colindale,closed,0,0
2020-01-03 00:00:00,Edgware,closed,0,0
2020-01-03 00:00:00,Finchley Church End,closed,0,0
2020-01-03 00:00:00,Golders Green,closed,0,0
2020-01-03 00:00:00,North Finchley,closed,0,0
2020-01-03 00:00:00,Osidge,closed,0,0
2020-01-03 01:00:00,Chipping Barnet,closed,0,0
2020-01-03 01:00:00,Colindale,closed,0,0
2020-01-03 01:00:00,Edgware,closed,0,0
2020-01-03 01:00:00,Finchley Church End,closed,0,0
2020-01-03 01:00:00,Golders Green,closed,0,0
2020-01-03 01:00:00,North Finchley,closed,0,0
2020-01-03 01:00:00,Osidge,closed,0,0
2020-01-03 02:00:00,Chipping Barnet,closed,0,0
2020-01-03 02:00:00,Colindale,closed,0,0
2020-01-03 02:00:00,Edgware,closed,0,0
2020-01-03 02:00:00,Finchley Church End,closed,0,0
2020-01-03 02:00:00,Golders Green,closed,0,0
2020-01-03 02:00:00,North Finchley,closed,0,0
2020-01-03 02:00:00,Osidge,closed,0,0
2020-01-03 03:00:00,Chipping Barnet,closed,0,0
2020-01-03 03:00:00,Colindale,closed,0,0
2020-01-03 03:00:00,Edgware,closed,0,0
2020-01-03 03:00:00,Finchley Church End,closed,0,0
2020-01-03 03:00:00,Golders Green,closed,0,0
2020-01-03 03:00:00,North Finchley,closed,0,0
2020-01-03 03:00:00,Osidge,closed,0,0
2020-01-03 04:00:00,Chipping Barnet,closed,0,0
2020-01-03 04:00:00,Colindale,closed,0,0
2020-01-03 04:00:00,Edgware,closed,0,0
2020-01-03 04:00:00,Finchley Church End,closed,0,0
2020-01-03 04:00:00,Golders Green,closed,0,0
2020-01-03 04:00:00,North Finchley,closed,0,0
2020-01-03 04:00:00,Osidge,closed,0,0
2020-01-03 05:00:00,Chipping Barnet,closed,0,0
2020-01-03 05:00:00,Colindale,closed,0,0
2020-01-03 05:00:00,Edgware,closed,0,0
2020-01-03 05:00:00,Finchley Church End,closed,0,0
2020-01-03 05:00:00,Golders Green,closed,0,0
2020-01-03 05:00:00,North Finchley,closed,0,0
2020-01-03 05:00:00,Osidge,closed,0,0
2020-01-03 06:00:00,Chipping Barnet,closed,0,0
2020-01-03 06:00:00,Colindale,closed,4,2
2020-01-03 06:00:00,Edgware,closed,0,0
2020-01-03 06:00:00,Finchley Church End,closed,0,0
2020-01-03 06:00:00,Golders Green,closed,0,0
2020-01-03 06:00:00,North Finchley,closed,0,0
2020-01-03 06:00:00,Osidge,closed,0,0
2020-01-03 07:00:00,Chipping Barnet,SSO,0,0
2020-01-03 07:00:00,Colindale,SSO,0,0
2020-01-03 07:00:00,Edgware,SSO,0,0
2020-01-03 07:00:00,Finchley Church End,SSO,0,0
2020-01-03 07:00:00,Golders Green,closed,0,0
2020-01-03 07:00:00,North Finchley,closed,0,0
2020-01-03 07:00:00,Osidge,closed,0,0
2020-01-03 08:00:00,Chipping Barnet,SSO,5,1
2020-01-03 08:00:00,Colindale,SSO,9,4
